TS,xs1,xs2,xs3,xs4
03/03/2022 06:07:46 PM,21.118528,62.1752,614.026407,93.229928
03/03/2022 06:07:47 PM,20.817717,62.050372,609.062928,92.081963
03/03/2022 06:07:48 PM,22.409029,60.892222,602.233727,92.773923
03/03/2022 06:07:49 PM,21.789149,62.334722,602.305708,91.442174
03/03/2022 06:07:50 PM,21.999307,62.101203,613.989198,92.368813
03/03/2022 06:07:51 PM,22.465033,61.023077,602.130472,90.894875
03/03/2022 06:07:52 PM,21.688155,61.218877,601.214095,92.328198
03/03/2022 06:07:53 PM,21.942909,61.523135,619.69448,92.110854
03/03/2022 06:07:54 PM,21.061041,61.014411,614.196127,93.447181
03/03/2022 06:07:55 PM,21.439962,60.997644,611.36097,91.058726
03/03/2022 06:07:56 PM,21.505853,61.270262,607.077061,90.701135
03/03/2022 06:07:57 PM,21.031625,60.768911,613.024309,90.853639
03/03/2022 06:07:58 PM,21.61606,60.741932,610.666972,93.077881
03/03/2022 06:07:59 PM,22.011231,61.365534,602.347881,91.321131
03/03/2022 06:08:00 PM,21.363157,60.59658,614.165534,91.812712
03/03/2022 06:08:01 PM,21.803806,61.8096,612.142107,93.127544
03/03/2022 06:08:02 PM,21.565048,62.480489,607.065088,92.180635
03/03/2022 06:08:03 PM,21.979694,61.542413,614.32075,93.233927
03/03/2022 06:08:04 PM,20.875241,61.844181,616.203439,90.970074
03/03/2022 06:08:05 PM,20.633782,62.115461,677.913234,92.916869
03/03/2022 06:08:06 PM,22.301681,61.855858,614.078293,90.837978
03/03/2022 06:08:08 PM,22.361048,61.75454,672.92899,91.069988
03/03/2022 06:08:09 PM,20.620637,62.470873,605.430032,92.733771
03/03/2022 06:08:10 PM,21.596368,61.506815,668.051176,91.599291
03/03/2022 06:08:11 PM,21.628158,60.818322,666.619477,92.588797
03/03/2022 06:08:12 PM,21.681858,62.164903,609.05607,92.255407
03/03/2022 06:08:13 PM,20.588605,60.93506,610.77126,91.006007
03/03/2022 06:08:14 PM,20.663074,61.322936,620.51365,90.694116
03/03/2022 06:08:15 PM,22.545503,61.404858,616.266824,91.827782
03/03/2022 06:08:16 PM,20.863571,60.857641,602.320735,93.002325
03/03/2022 06:08:17 PM,20.56519,61.640351,616.337114,92.906492
03/03/2022 06:08:18 PM,21.147654,61.547804,620.435531,91.114191
03/03/2022 06:08:19 PM,22.323594,61.839531,615.704709,91.337765
03/03/2022 06:08:20 PM,21.362314,62.362642,658.428625,90.604125
03/03/2022 06:08:21 PM,21.579178,61.91043,608.340211,90.653926
03/03/2022 06:08:22 PM,20.939188,61.275888,668.669532,91.702108
03/03/2022 06:08:23 PM,21.197308,61.343306,665.533463,91.756847
03/03/2022 06:08:24 PM,22.262481,60.599175,602.825276,91.781196
03/03/2022 06:08:25 PM,21.025545,61.780687,609.460823,92.969484
03/03/2022 06:08:26 PM,21.98711,61.485239,601.178344,96.692056
